unix,pax_mcap
1599632050,283928518.5463749
1599635600,284131125.38168406
1599639150,285386814.16107625
1599642700,283988519.44250166
1599646250,283980715.35880667
1599649800,285629838.9387698
1599653350,285453792.75651896
1599656900,284759372.9986032
1599660450,285073161.5267852
1599664000,286458669.19093573
1599667550,286829081.5936612
1599671100,286753905.24851286
1599674650,285010890.3021146
1599678200,284632539.5987769
1599681750,284985391.63383406
1599685300,284925501.4030697
1599688850,287168128.38735867
1599692400,286746599.2631669
1599695950,286203035.44146264
1599699500,286957546.3858413
1599703050,286475224.69544846
1599706600,286149803.15753436
1599710150,286282161.3174243
1599713700,285926863.3365422
1599717250,286554242.9489012
1599720800,287816700.60753006
1599724350,287821284.9230605
1599727900,287969598.9757759
1599731450,287727676.4063306
1599735000,287678581.64127916
1599738550,287757394.8512209
1599742100,288477657.9011894
1599745650,288200476.0750826
1599749200,286582769.9344764
1599752750,286188027.0188154
1599756300,287257201.375595
1599759850,284627545.3606408
1599763400,282222838.0761311
1599766950,283381962.2742925
1599770500,283940348.07817096
