,unix,tusd_mcap
246,1543104000,188676892.5975734
247,1543190400,188571037.5663365
248,1543276800,195239118.18903133
249,1543363200,193342498.75947145
250,1543449600,194604883.51180592
251,1543536000,197108516.0414003
252,1543622400,197746151.9412065
253,1543708800,197795425.64121044
254,1543795200,197438438.19518146
255,1543881600,198409543.89981562
256,1543968000,201049417.65185875
257,1544054400,201105533.624333
258,1544140800,202188942.57465613
259,1544227200,205139153.4463527
260,1544313600,205883398.61226594
261,1544400000,206042488.51809755
262,1544486400,209645535.94212463
263,1544572800,209945220.56737942
264,1544659200,212615795.7198604
265,1544745600,213271811.1596273
266,1544832000,213572790.99244088
267,1544918400,213330122.21340242
268,1545004800,212976930.85468525
269,1545091200,212939377.52602807
270,1545177600,211594621.0590411
271,1545264000,208968509.12207866
272,1545350400,208360129.53925946
273,1545436800,206555288.7810974
274,1545523200,207139669.08060843
275,1545609600,206728630.10012117
276,1545696000,205475946.15216202
277,1545782400,205313410.19896725
278,1545868800,206937622.75585213
279,1545955200,204297243.90220037
280,1546041600,201090472.99011153
281,1546128000,203944719.75946733
282,1546214400,204642819.23141336
283,1546300800,205999135.1078604
284,1546387200,205134328.61844075
285,1546473600,204391953.8006303
286,1546560000,206501472.43657055
287,1546646400,206114235.24589807
288,1546732800,204892017.044613
289,1546819200,204175177.99421927
290,1546905600,201423512.13775176
291,1546992000,200697160.3184484
292,1547078400,201183530.2693788
293,1547164800,202489445.5378795
294,1547251200,201536214.8055782
295,1547337600,202675108.32598856
296,1547424000,204851417.89751732
297,1547510400,205485943.01549095
298,1547596800,207342546.51650771
299,1547683200,207344805.57971162
300,1547769600,205601316.53866264
301,1547856000,207338521.69242802
302,1547942400,207907729.80343547
303,1548028800,208032673.26440188
304,1548115200,207857500.34533057
305,1548201600,207765697.2151831
306,1548288000,207529692.6767157
307,1548374400,207891779.72986382
308,1548460800,209165207.60866854
309,1548547200,209627860.62673354
310,1548633600,209346211.62142363
311,1548720000,208242351.59775817
312,1548806400,209030088.22301033
313,1548892800,208534357.86547136
314,1548979200,209083161.28693035
315,1549065600,208484011.74546304
316,1549152000,209663221.75357437
317,1549238400,208616559.5919499
318,1549324800,208380479.99619013
319,1549411200,207212469.12818047
320,1549497600,207153534.46077934
321,1549584000,207575417.5582312
322,1549670400,207717440.19938463
323,1549756800,206647212.060754
324,1549843200,206186777.3042826
325,1549929600,208372466.517817
326,1550016000,207740197.67006153
327,1550102400,207832845.45455745
328,1550188800,208574569.07367453
329,1550275200,208456125.4812939
330,1550361600,209451953.61953485
331,1550448000,206362099.60323775
332,1550534400,209759273.88550302
333,1550620800,210419174.56590232
334,1550707200,207461801.19544762
335,1550793600,206156458.40484583
336,1550880000,204118353.02388105
337,1550966400,203750114.68614593
338,1551052800,202873454.00665185
339,1551139200,203706255.5185494
340,1551225600,204108300.35436866
341,1551312000,202912197.60385078
342,1551398400,201726004.6030327
