,unix,tether_dominance
792,1496102400,100.0
793,1496188800,100.0
794,1496275200,100.0
795,1496361600,100.0
796,1496448000,100.0
797,1496534400,100.0
798,1496620800,100.0
799,1496707200,100.0
800,1496793600,100.0
801,1496880000,100.0
802,1496966400,100.0
803,1497052800,100.0
804,1497139200,100.0
805,1497225600,100.0
806,1497312000,100.0
807,1497398400,100.0
808,1497484800,100.0
809,1497571200,100.0
810,1497657600,100.0
811,1497744000,100.0
812,1497830400,100.0
813,1497916800,100.0
814,1498003200,100.0
815,1498089600,100.0
816,1498176000,100.0
817,1498262400,100.0
818,1498348800,100.0
819,1498435200,100.0
820,1498521600,100.0
821,1498608000,100.0
822,1498694400,100.0
823,1498780800,100.0
824,1498867200,100.0
825,1498953600,100.0
826,1499040000,100.0
827,1499126400,100.0
828,1499212800,100.0
829,1499299200,100.0
830,1499385600,100.0
831,1499472000,100.0
832,1499558400,100.0
833,1499644800,100.0
834,1499731200,100.0
835,1499817600,100.0
836,1499904000,100.0
837,1499990400,100.0
838,1500076800,100.0
839,1500163200,100.0
840,1500249600,100.0
841,1500336000,100.0
842,1500422400,100.0
843,1500508800,100.0
844,1500595200,100.0
845,1500681600,100.0
846,1500768000,100.0
847,1500854400,100.0
848,1500940800,100.0
849,1501027200,100.0
850,1501113600,100.0
851,1501200000,100.0
852,1501286400,100.0
853,1501372800,100.0
854,1501459200,100.0
855,1501545600,100.0
856,1501632000,100.0
857,1501718400,100.0
858,1501804800,100.0
859,1501891200,100.0
860,1501977600,100.0
861,1502064000,100.0
862,1502150400,100.0
863,1502236800,100.0
864,1502323200,100.0
865,1502409600,100.0
866,1502496000,100.0
867,1502582400,100.0
868,1502668800,100.0
869,1502755200,100.0
870,1502841600,100.0
871,1502928000,100.0
872,1503014400,100.0
873,1503100800,100.0
874,1503187200,100.0
875,1503273600,100.0
876,1503360000,100.0
877,1503446400,100.0
878,1503532800,100.0
879,1503619200,100.0
880,1503705600,100.0
881,1503792000,100.0
882,1503878400,100.0
883,1503964800,100.0
884,1504051200,100.0
885,1504137600,100.0
886,1504224000,100.0
887,1504310400,100.0
888,1504396800,100.0
889,1504483200,100.0
890,1504569600,100.0
891,1504656000,100.0
892,1504742400,100.0
893,1504828800,100.0
894,1504915200,100.0
895,1505001600,100.0
896,1505088000,100.0
897,1505174400,100.0
898,1505260800,100.0
899,1505347200,100.0
900,1505433600,100.0
901,1505520000,100.0
902,1505606400,100.0
903,1505692800,100.0
904,1505779200,100.0
905,1505865600,100.0
906,1505952000,100.0
907,1506038400,100.0
908,1506124800,100.0
909,1506211200,100.0
910,1506297600,100.0
911,1506384000,100.0
912,1506470400,100.0
913,1506556800,100.0
914,1506643200,100.0
915,1506729600,100.0
916,1506816000,100.0
917,1506902400,100.0
918,1506988800,100.0
919,1507075200,100.0
920,1507161600,100.0
921,1507248000,100.0
922,1507334400,100.0
923,1507420800,100.0
924,1507507200,100.0
925,1507593600,100.0
926,1507680000,100.0
927,1507766400,100.0
928,1507852800,100.0
929,1507939200,100.0
930,1508025600,100.0
931,1508112000,100.0
932,1508198400,100.0
933,1508284800,100.0
934,1508371200,100.0
935,1508457600,100.0
936,1508544000,100.0
937,1508630400,100.0
938,1508716800,100.0
939,1508803200,100.0
940,1508889600,100.0
941,1508976000,100.0
942,1509062400,100.0
943,1509148800,100.0
944,1509235200,100.0
945,1509321600,100.0
946,1509408000,100.0
947,1509494400,100.0
948,1509580800,100.0
949,1509667200,100.0
950,1509753600,100.0
951,1509840000,100.0
952,1509926400,100.0
953,1510012800,100.0
954,1510099200,100.0
955,1510185600,100.0
956,1510272000,100.0
957,1510358400,100.0
958,1510444800,100.0
959,1510531200,100.0
960,1510617600,100.0
961,1510704000,100.0
962,1510790400,100.0
963,1510876800,100.0
964,1510963200,100.0
965,1511049600,100.0
966,1511136000,100.0
967,1511222400,100.0
968,1511308800,100.0
969,1511395200,100.0
970,1511481600,100.0
971,1511568000,100.0
972,1511654400,100.0
973,1511740800,100.0
974,1511827200,100.0
975,1511913600,100.0
976,1512000000,100.0
977,1512086400,100.0
978,1512172800,100.0
979,1512259200,100.0
980,1512345600,100.0
981,1512432000,100.0
982,1512518400,100.0
983,1512604800,100.0
984,1512691200,100.0
985,1512777600,100.0
986,1512864000,100.0
987,1512950400,100.0
988,1513036800,100.0
989,1513123200,100.0
990,1513209600,100.0
991,1513296000,100.0
992,1513382400,100.0
993,1513468800,100.0
994,1513555200,100.0
995,1513641600,100.0
996,1513728000,100.0
997,1513814400,100.0
998,1513900800,100.0
999,1513987200,100.0
1000,1514073600,100.0
1001,1514160000,100.0
1002,1514246400,100.0
1003,1514332800,100.0
1004,1514419200,100.0
1005,1514505600,100.0
1006,1514592000,100.0
1007,1514678400,100.0
1008,1514764800,100.0
1009,1514851200,100.0
1010,1514937600,100.0
1011,1515024000,100.0
1012,1515110400,100.0
1013,1515196800,100.0
1014,1515283200,100.0
1015,1515369600,100.0
1016,1515456000,100.0
1017,1515542400,100.0
